age_category,step_category,size_control,size_test,completed_control,completed_test,completion_rate_control,completion_rate_test,relative_performance
20-30,completion,3724,4335,2117,2601,0.5684747583243824,0.6,0.05545583372697194
30-40,completion,4416,5257,2513,2969,0.5690670289855072,0.5647707818147232,-0.0075496329113339256
40-50,completion,4026,4641,2275,2517,0.565076999503229,0.5423400129282482,-0.04023697052785613
50-60,completion,5208,5850,2720,2850,0.522273425499232,0.48717948717948717,-0.06719457013574659
60-70,completion,4305,4822,2055,2207,0.47735191637630664,0.4576939029448362,-0.041181385801693504
over 70,completion,1636,1795,587,597,0.35880195599022,0.3325905292479109,-0.07305263057992806
under 20,completion,211,261,127,164,0.6018957345971564,0.6283524904214559,0.04395571243249763
20-30,start_to_step1,3724,4335,2977,3653,0.7994092373791621,0.8426758938869665,0.05412328815420331
30-40,start_to_step1,4416,5257,3470,4331,0.7857789855072463,0.8238539090736161,0.04845500359339727
40-50,start_to_step1,4026,4641,3089,3802,0.7672627918529558,0.8192199956905839,0.06771761173528357
50-60,start_to_step1,5208,5850,3835,4480,0.7363671274961597,0.7658119658119659,0.039986627887540704
60-70,start_to_step1,4305,4822,3012,3573,0.6996515679442509,0.7409788469514724,0.05906837188781178
over 70,start_to_step1,1636,1795,1028,1242,0.628361858190709,0.6919220055710307,0.10115214116167914
under 20,start_to_step1,211,261,171,220,0.8104265402843602,0.842911877394636,0.040084246375837296
20-30,step1_to_step2,2977,3653,2910,3389,0.9774941215989251,0.9277306323569668,-0.05090924655440199
30-40,step1_to_step2,3470,4331,3406,4043,0.9815561959654179,0.9335026552759178,-0.048956484495761954
40-50,step1_to_step2,3089,3802,3034,3509,0.9821948850760764,0.9229352972119936,-0.06033383879767695
50-60,step1_to_step2,3835,4480,3803,4230,0.9916558018252933,0.9441964285714286,-0.04785871586341606
60-70,step1_to_step2,3012,3573,2979,3340,0.9890438247011952,0.9347886929750909,-0.054856145269898016
over 70,step1_to_step2,1028,1242,954,1085,0.9280155642023347,0.8735909822866345,-0.05864619518798719
under 20,step1_to_step2,171,220,169,211,0.9883040935672515,0.9590909090909091,-0.029558902635825723
20-30,step2_to_step3,2910,3389,2618,3312,0.8996563573883162,0.9772794334611979,0.0862808064828442
30-40,step2_to_step3,3406,4043,3105,3942,0.9116265413975337,0.9750185505812515,0.06953725709492531
40-50,step2_to_step3,3034,3509,2806,3487,0.924851680949242,0.9937304075235109,0.07447542994523593
50-60,step2_to_step3,3803,4230,3544,4237,0.9318958716802525,1.0016548463356973,0.07485704870616727
60-70,step2_to_step3,2979,3340,3078,3694,1.0332326283987916,1.1059880239520958,0.07041530973141441
over 70,step2_to_step3,954,1085,1012,1222,1.0607966457023061,1.1262672811059908,0.06171836578568701
under 20,step2_to_step3,169,211,152,207,0.8994082840236687,0.981042654028436,0.09076452980793204
20-30,step3_to_confirm,2618,3312,2424,3179,0.9258976317799847,0.9598429951690821,0.03666211276924791
30-40,step3_to_confirm,3105,3942,2848,3661,0.9172302737520129,0.9287163876204972,0.012522606587655805
40-50,step3_to_confirm,2806,3487,2614,3226,0.9315751960085531,0.9251505592199598,-0.006896530538941348
50-60,step3_to_confirm,3544,4237,3135,3820,0.8845936794582393,0.901581307528912,0.019203876836511702
60-70,step3_to_confirm,3078,3694,2360,2973,0.7667316439246263,0.8048186247969681,0.04967446064621517
over 70,step3_to_confirm,1012,1222,683,876,0.674901185770751,0.7168576104746317,0.062166766911167404
under 20,step3_to_confirm,152,207,146,204,0.9605263157894737,0.9855072463768116,0.0260075441731189
